Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active cases,Serious Cases,Serious,Top Cases,Total Tests,Tests,Population
Ukraine,"1,946,510","+10,282","39,786",+250,"1,482,079","424,645",177,"44,722",914,"8,915,393","204,836","43,524,478",
Peru,"1,697,626",,"56,797",,"1,619,680","21,149","2,616","50,926","1,704","10,374,315","311,212","33,335,152",
Indonesia,"1,604,348","+4,585","43,424",+96,"1,455,065","105,859",,"5,817",157,"13,836,432","50,166","275,814,395",
Czechia,"1,600,347",,"28,426",+13,"1,495,624","76,297",938,"149,220","2,651","15,590,376","1,453,680","10,724,766",
South Africa,"1,565,680",,"53,711",,"1,489,457","22,512",546,"26,138",897,"10,305,641","172,046","59,900,468",
Netherlands,"1,403,833","+8,505","16,916",+12,"1,170,083","216,834",796,"81,785",985,"11,292,587","657,885","17,164,991",
Chile,"1,124,718","+7,370","25,177",+122,"1,053,635","45,906","3,277","58,438","1,308","12,206,029","634,203","19,246,262",
Canada,"1,119,492","+5,585","23,618",+27,"1,008,545","87,329","1,089","29,457",621,"29,803,243","784,205","38,004,425",
Romania,"1,029,304","+2,265","26,232",+160,"940,792","62,280","1,475","53,790","1,371","7,902,628","412,984","19,135,449",
Iraq,"977,175","+6,188","14,981",+33,"856,532","105,662",526,"23,872",366,"8,805,486","215,115","40,933,930",
Belgium,"947,000","+3,787","23,718",+37,"799,120","124,162",923,"81,430","2,039","11,950,159","1,027,558","11,629,663",
Philippines,"936,133","+10,098","15,960",+150,"779,084","141,089",750,"8,454",144,"11,153,268","100,720","110,735,003",
Sweden,"900,138",,"13,788",,"730,387","155,963",391,"88,690","1,359","7,847,033","773,166","10,149,222",
Israel,"836,926",+44,"6,334",+3,"828,052","2,540",206,"90,994",689,"13,940,203","1,515,636","9,197,590",
Portugal,"831,001",+441,"16,945",+3,"788,669","25,387",109,"81,687","1,666","9,690,372","952,553","10,173,050",
Pakistan,"756,285","+6,127","16,243",+149,"659,483","80,559","4,446","3,372",72,"11,144,367","49,690","224,277,378",
Hungary,"750,508","+3,706","25,184",+205,"455,029","270,295","1,051","77,847","2,612","5,124,731","531,565","9,640,834",
Bangladesh,"718,950","+3,698","10,385",+102,"614,936","93,629",,"4,331",63,"5,170,067","31,147","165,989,196",
Jordan,"685,973","+2,507","8,246",+68,"638,481","39,246",729,"66,707",802,"6,477,564","629,906","10,283,378",
Serbia,"662,368","+2,069","5,991",+37,"589,535","66,842",218,"76,052",688,"3,683,511","422,937","8,709,355",
Switzerland,"632,399",,"10,508",+3,"568,416","53,475",235,"72,649","1,207","6,538,153","751,096","8,704,812",
Austria,"593,423","+2,076","9,898",+28,"555,218","28,307",546,"65,592","1,094","28,823,897","3,185,957","9,047,172",
Japan,"525,218",,"9,584",,"478,378","37,256",702,"4,163",76,"10,833,896","85,869","126,168,345",
Lebanon,"508,503",,"6,886",,"423,848","77,769",774,"74,768","1,012","3,814,173","560,816","6,801,110",
Morocco,"505,811",+364,"8,945",+1,"491,810","5,056",235,"13,576",240,"6,163,347","165,428","37,256,892",
UAE,"497,154","+1,930","1,554",+4,"479,566","16,034",,"49,790",156,"41,767,180","4,182,996","9,984,991",
Saudi Arabia,"404,970",+916,"6,823",+13,"388,702","9,445","1,044","11,491",194,"16,174,957","458,962","35,242,438",
Bulgaria,"385,963",,"15,138",,"305,237","65,588",797,"55,882","2,192","2,357,428","341,322","6,906,762",
Slovakia,"375,974",+638,"11,106",+63,"255,300","109,568",438,"68,838","2,033","2,503,748","458,415","5,461,744",
Malaysia,"375,054","+2,195","1,378",+8,"353,822","19,854",219,"11,472",42,"8,601,726","263,097","32,694,152",
Panama,"360,597",,"6,187",,"350,347","4,063",105,"82,546","1,416","2,292,939","524,886","4,368,453",
Ecuador,"358,157",,"17,641",,"298,604","41,912",618,"20,059",988,"1,225,383","68,630","17,854,857",
Belarus,"344,223","+1,300","2,423",+10,"334,852","6,948",,"36,438",256,"5,666,746","599,855","9,446,852",
Greece,"315,273","+1,829","9,462",+65,"267,947","37,864",841,"30,366",911,"7,468,808","719,364","10,382,515",
