Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active cases,Serious Cases,Serious,Top Cases,Total Tests,Tests,Population
Mozambique,"69,134",,798,,"61,207","7,129",68,"2,164",25,"503,001","15,746","31,944,020",
El Salvador,"67,557",+153,"2,075",+3,"63,787","1,695",62,"10,374",319,"888,633","136,457","6,512,179",
Cameroon,"64,809",,939,,"57,821","6,049",385,"2,394",35,"1,257,949","46,477","27,066,166",
Luxembourg,"64,746",,785,,"60,627","3,334",30,"102,119","1,238","2,548,684","4,019,841","634,026",
,,,,,,,,,,,,,
Singapore,"60,831",+23,30,,"60,485",316,2,"10,333",5,"9,036,706","1,535,074","5,886,820",
Afghanistan,"57,898",+105,"2,546",+6,"52,168","3,184","1,124","1,461",64,"382,972","9,666","39,619,357",
Cyprus,"55,407",,288,,"39,061","16,058",65,"45,628",237,"4,280,069","3,524,637","1,214,329",
Namibia,"46,515",,602,,"44,437","1,476",29,"18,048",234,"370,004","143,566","2,577,241",
Ivory Coast,"45,519",,274,,"45,064",181,,"1,693",10,"557,294","20,723","26,892,632",
Botswana,"44,075",,671,,"39,493","3,911",1,"18,448",281,"969,789","405,924","2,389,088",
Jamaica,"43,890",+206,723,+2,"19,710","23,457",35,"14,771",243,"314,803","105,943","2,971,427",
Thailand,"42,352","+1,767",101,+2,"28,750","13,501",1,606,1,"8,124,896","116,171","69,939,103",
Uganda,"41,378",+38,338,,"40,898",142,24,883,7,"986,829","21,052","46,875,190",
Senegal,"39,782",+51,"1,091",+1,"38,511",180,19,"2,328",64,"464,096","27,154","17,091,143",
Zimbabwe,"37,699",,"1,552",,"35,005","1,142",12,"2,508",103,"401,364","26,697","15,034,019",
Malawi,"33,919",,"1,136",,"31,717","1,066",15,"1,738",58,"226,302","11,594","19,519,025",
Madagascar,"32,205",+588,542,+4,"25,798","5,865",294,"1,140",19,"166,522","5,894","28,251,355",
Sudan,"31,790",,"2,208",,"25,539","4,043",,712,49,"232,965","5,217","44,655,932",
Malta,"29,966",+39,409,,"28,962",595,,"67,723",924,"846,001","1,911,966","442,477",
Australia,"29,513",+19,910,,"26,435","2,168",,"1,147",35,"16,353,769","635,490","25,734,122",
DRC,"28,956",+62,745,,"25,841","2,370",,316,8,"145,038","1,582","91,700,324",
Maldives,"26,145",,69,,"23,482","2,594",53,"47,704",126,"683,386","1,246,911","548,063",
Angola,"24,300",,561,,"22,576","1,163",20,722,17,"445,121","13,220","33,669,143",
Rwanda,"23,866",,322,,"22,082","1,462",6,"1,807",24,"1,253,747","94,945","13,205,039",
Mongolia,"21,995","+1,340",44,+3,"11,877","10,074",88,"6,625",13,"2,554,027","769,282","3,320,012",
Gabon,"21,858",,133,,"18,507","3,218",20,"9,641",59,"687,026","303,041","2,267,109",
Guinea,"21,460",,138,,"18,882","2,440",24,"1,600",10,"419,860","31,302","13,413,017",
Syria,"21,004",,"1,437",,"14,721","4,846",,"1,178",81,"103,566","5,807","17,835,491",
Cabo Verde,"19,975",,189,,"17,870","1,916",23,"35,621",337,"141,125","251,663","560,769",
Mayotte,"19,757",,168,,"2,964","16,625",6,"71,068",604,"165,683","595,982","278,000",
French Polynesia,"18,696",,141,,"4,842","13,713",1,"66,252",500,"26,355","93,393","282,196",
Réunion,"18,425",,135,,"16,794","1,496",54,"20,464",150,"100,098","111,173","900,379",
Eswatini,"18,415",,671,,"17,682",62,3,"15,744",574,"178,172","152,326","1,169,679",
Mauritania,"18,121",,452,,"17,473",196,14,"3,818",95,"220,359","46,432","4,745,835",
French Guiana,"18,081",,95,,"9,995","7,991",13,"59,326",312,"200,985","659,454","304,775",
Tajikistan,"13,308",,90,,"13,218",0,,"1,371",9,,,"9,706,497",
Burkina Faso,"13,114",,154,,"12,750",210,,614,7,"176,583","8,269","21,354,113",
Mali,"12,980",,429,,"7,385","5,166",,627,21,"245,703","11,864","20,709,345",
Haiti,"12,918",,251,,"11,791",876,,"1,122",22,"60,085","5,219","11,512,552",
Somalia,"12,837",,656,,"5,346","6,835",,790,40,"102,486","6,310","16,241,914",
Andorra,"12,771",,123,,"12,159",489,29,"165,079","1,590","193,595","2,502,424","77,363",
Guadeloupe,"12,717",,176,,"2,242","10,299",13,"31,778",440,"164,128","410,137","400,178",
Belize,"12,538",,318,,"12,143",77,1,"31,086",788,"109,796","272,225","403,328",
Togo,"12,496",,119,,"10,163","2,214",,"1,482",14,"299,315","35,499","8,431,597",
Curaçao,"11,837",,88,,"9,011","2,738",22,"71,902",535,"89,140","541,470","164,626",
Guyana,"11,762",,268,,"10,161","1,333",13,"14,897",339,"107,093","135,636","789,564",
Hong Kong,"11,684",+30,209,,"11,270",205,4,"1,549",28,"11,193,673","1,483,549","7,545,198",
Lesotho,"10,709",,315,,"5,028","5,366",,"4,968",146,"71,629","33,228","2,155,713",
Djibouti,"10,460",+48,116,+2,"9,172","1,172",,"10,467",116,"144,015","144,107","999,362",
South Sudan,"10,432",,114,,"10,148",170,,923,10,"142,254","12,592","11,297,620",
Aruba,"10,305",,92,,"9,725",488,14,"96,195",859,"140,062","1,307,451","107,126",
Congo,"10,084",,139,,"8,208","1,737",,"1,793",25,"92,500","16,444","5,625,046",
Martinique,"9,890",,64,,98,"9,728",24,"26,371",171,"140,946","375,822","375,034",
Papua New Guinea,"9,738",+223,89,+5,846,"8,803",,"1,072",10,"70,260","7,737","9,080,807",
Bahamas,"9,634",,194,,"8,984",456,3,"24,315",490,"81,855","206,589","396,221",
Suriname,"9,545",,187,,"8,805",553,13,"16,156",317,"47,316","80,088","590,798",
Trinidad and Tobago,"8,806",,150,,"7,908",748,8,"6,276",107,"119,953","85,492","1,403,087",
Benin,"7,611",,95,,"6,728",788,35,615,8,"575,088","46,479","12,373,092",
Equatorial Guinea,"7,259",,106,,"6,885",268,11,"5,044",74,"116,266","80,788","1,439,155",
Nicaragua,"6,778",,180,,"4,225","2,373",,"1,014",27,,,"6,686,946",
Cambodia,"6,389",+618,43,+4,"2,476","3,870",,378,3,"811,284","47,999","16,901,990",
Iceland,"6,286",,29,,"6,184",73,3,"18,327",85,"568,908","1,658,624","343,000",
Yemen,"5,770",,"1,119",,"2,209","2,442",23,190,37,"22,934",756,"30,343,828",
CAR,"5,728",,75,,"5,112",541,2,"1,170",15,"40,907","8,355","4,896,095",
Gambia,"5,720",,170,,"5,190",360,3,"2,316",69,"60,815","24,621","2,470,054",
Niger,"5,116",,190,,"4,771",155,1,206,8,"95,186","3,824","24,893,250",
San Marino,"5,026",,87,,"4,724",215,4,"147,876","2,560","58,004","1,706,602","33,988",
Seychelles,"4,875",,25,,"4,351",499,,"49,327",253,"21,504","217,586","98,830",
Chad,"4,691",,168,,"4,335",188,,279,10,"110,863","6,600","16,796,394",
Saint Lucia,"4,401",,67,,"4,238",96,3,"23,880",364,"38,600","209,449","184,293",
Gibraltar,"4,291",,94,,"4,181",16,1,"127,394","2,791","225,212","6,686,222","33,683",
Channel Islands,"4,053",,86,,"3,956",11,1,"23,142",491,"399,901","2,283,413","175,133",
Sierra Leone,"4,020",,79,,"2,848","1,093",,496,10,"118,332","14,600","8,104,959",
Comoros,"3,815",,146,,"3,589",80,,"4,315",165,,,"884,209",
Barbados,"3,773",,44,,"3,656",73,,"13,116",153,"148,276","515,465","287,655",
Guinea-Bissau,"3,710",,66,,"3,117",527,9,"1,851",33,"61,481","30,669","2,004,645",
Eritrea,"3,491",,10,,"3,288",193,,974,3,"23,693","6,608","3,585,246",
Burundi,"3,477",,6,,773,"2,698",,286,0.5,"90,019","7,397","12,169,053",
Liechtenstein,"2,813",+9,56,,"2,665",92,3,"73,610","1,465","32,252","843,962","38,215",
Vietnam,"2,781",,35,,"2,475",271,,28,0.4,"2,598,753","26,509","98,032,653",
New Zealand,"2,595",+4,26,,"2,467",102,,519,5,"1,972,640","394,362","5,002,100",
Monaco,"2,395",,31,,"2,282",82,6,"60,690",786,"51,953","1,316,499","39,463",
Turks and Caicos,"2,369",,17,,"2,291",61,2,"60,540",434,"45,274","1,156,986","39,131",
Sao Tome and Principe,"2,275",,35,,"2,210",30,,"10,231",157,"12,597","56,648","222,372",
Sint Maarten,"2,205",,27,,"2,144",34,1,"50,970",624,"25,322","585,331","43,261",
Bermuda,"2,123",,18,,"1,237",868,41,"34,190",290,"225,628","3,633,594","62,095",
Liberia,"2,042",,85,,"1,899",58,2,396,17,"79,684","15,469","5,151,337",
